example_id,content,metadata,tagged_sentence,relation_type,e1_tag,e2_tag
05864826-21ef-4ae7-9af8-2aaeffc7267a,Modular and portable buildings with a planned service life of more than two years but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,{'ID': '83_UK_DocM_V2_AccessAndUseOfBuildings'},Modular and portable buildings with a planned <e1>service life</e1> of more than <e2>two years</e2> but with an intended time of use in a single location of less than two years should be shown to comply with the energy efficiency requirements.,greater,property,value
079db365-cfed-474e-9329-25349ac0db4a,"In connection with the door of an outside space of an individual dwelling the level difference outside the door may be more than 20 millimetres if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",{'ID': '21_Finnish_Accessibility'},"In connection with the door of an outside space of an individual dwelling the <e1>level difference</e1> outside the door may be more than <e2>20 millimetres</e2> if the level difference can, with reasonable effort, be eliminated with equipment in the outdoor space.",greater,property,value
11f2902d-29c2-474e-97d0-628a2a97a666,"Level differences of over 500 millimetres must be equipped with an appropriate safety barrier, railing or handrail.",{'ID': '109_Finnish_SafetyOfUse'},"<e1>Level differences</e1> of over <e2>500 millimetres</e2> must be equipped with an appropriate safety barrier, railing or handrail.",greater,property,value
12e545d1-64f4-45c9-a520-5b8a003eba0a,"If the dwelling has more than one exposed facade, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",{'ID': '85_UK_DocF_V1_Ventilation'},"If the dwelling has more than <e1>one</e1> exposed <e2>facade</e2>, the area of background ventilators on each facade should be similar, to allow cross-ventilation.",greater,value,object
1e3d8e3a-93fd-47e2-833e-d7f36c901c77,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or casings above 1800mm may be discounted when measuring clear width.,{'ID': '131_UK_DocM_V1_AccessAndUseOfBuildings'},Skirtings totalling up to 50mm total thickness and shallow projecting ducts or <e1>casings</e1> above <e2>1800mm</e2> may be discounted when measuring clear width.,greater,object,value
1e3d8e3a-93fd-47e2-833e-d7f36c901c77,Skirtings totalling up to 50mm total thickness and shallow projecting ducts or casings above 1800mm may be discounted when measuring clear width.,{'ID': '131_UK_DocM_V1_AccessAndUseOfBuildings'},Skirtings totalling up to 50mm total thickness and shallow projecting <e1>ducts</e1> or casings above <e2>1800mm</e2> may be discounted when measuring clear width.,greater,object,value
23cff3c3-1251-4c5f-9fd9-8f52d25eb494,Gasfired boilers and multi-stage oilfired boilers with an output of more than 500kW should have fully modulating burner controls.,{'ID': '252_UK_DocM_V2_AccessAndUseOfBuildings'},Gasfired boilers and multi-stage oilfired boilers with an <e1>output</e1> of more than <e2>500kW</e2> should have fully modulating burner controls.,greater,property,value
29c431ee-ea93-491d-ab13-06418d93c488,"If luminous efficacy is greater than 75 light source lumens per circuit-watt, manual control is acceptable.",{'ID': '338_UK_DocL_V1_ConsrvationOfFuelAndPower'},"If <e1>luminous efficacy</e1> is greater than <e2>75 light source lumens per circuit-watt</e2>, manual control is acceptable.",greater,property,value
302c413e-fefd-47f1-914f-0dc787e4a761,"Where illuminance on surfaces is greater than 200 lux, a difference in light reflectance value should be a minimum of 20 points.",{'ID': '29_UK_DocM_V2_AccessAndUseOfBuildings'},"Where <e1>illuminance</e1> on surfaces is greater than <e2>200 lux</e2>, a difference in light reflectance value should be a minimum of 20 points.",greater,property,value
35cacecf-06dc-4b0f-aadb-db2ee05518c7,The area of windows and roof windows (but excluding display windows) within the area served exceeds 40 of the facade area.,{'ID': '495_UK_DocM_V2_AccessAndUseOfBuildings'},The area of windows and roof windows (but excluding display windows) <e1>within the area served</e1> exceeds <e2>40</e2> of the facade area.,greater,quality,value
4fc3b5b1-a838-4429-b385-d8e80e6633eb,"In the absence of relevant harmonised European Standards, products with a travel exceeding 3m must have a product certificate issued by a Notified Body.",{'ID': '117_UK_DocM_V2_AccessAndUseOfBuildings'},"In the absence of relevant harmonised European Standards, products with a <e1>travel</e1> exceeding <e2>3m</e2> must have a product certificate issued by a Notified Body.",greater,property,value
50e89a86-e2be-439d-b230-79274cd7199b,Modular and portable buildings with a planned service life of more than two years at a single location should be shown to comply with the energy efficiency requirements.,{'ID': '81_UK_DocM_V2_AccessAndUseOfBuildings'},Modular and portable buildings with a planned <e1>service life</e1> of more than <e2>two years</e2> at a single location should be shown to comply with the energy efficiency requirements.,greater,property,value
5577528f-8fa0-4ca3-96f6-ea418091cb86,The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a cube measuring more than 50 millimetres in width is able to pass through the opening between the plane level and the handrail or wall.,{'ID': '32_Finnish_SafetyOfUse'},The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a cube measuring more than <e1>50 millimetres</e1> in <e2>width</e2> is able to pass through the opening between the plane level and the handrail or wall.,greater,value,property
569c7958-b7d6-4b9c-9dd9-13307e95e59b,"For ducted systems that are served by fans with a design flow rate greater than 1m3/s, ductwork leakage tests should be carried out.",{'ID': '385_UK_DocM_V2_AccessAndUseOfBuildings'},"For ducted systems that are served by fans with a <e1>design flow rate</e1> greater than <e2>1m3/s</e2>, ductwork leakage tests should be carried out.",greater,property,value
56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,"Storage premises with a fire load exceeding 1,200 MJ/m2 are not permitted within the building.",{'ID': '73_Finnish_FireSafety'},"Storage premises with a <e1>fire load</e1> exceeding <e2>1,200 MJ/m2</e2> are not permitted within the building.",greater,property,value
5b4380ba-0066-4735-a362-316d4c8e70b2,"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.",{'ID': '73_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than <e1>10</e1> <e2>parking spaces</e2> after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.",greater,value,object
636bce88-fd3b-4e5a-9f6a-4aa0d3d1bfa4,"Where a new building contains more than one dwelling, a common access point for a gigabit-capable public electronic communications network is required as a part of the buildings gigabit-ready physical infrastructure.",{'ID': '6_UK_DocR_V1_InfrastructureForElectircalCommunications'},"Where a new building contains more than <e1>one</e1> <e2>dwelling</e2>, a common access point for a gigabit-capable public electronic communications network is required as a part of the buildings gigabit-ready physical infrastructure.",greater,value,object
7c8f6c05-769d-46a8-9dc6-84b509bf8d9c,"The fire compartmenting requirement for the balcony slab of a glazed balcony of a building exceeding two storeys is EI 30; however, minor sealing parts and penetrations may be class E 15.",{'ID': '134_Finnish_FireSafety'},"The fire compartmenting requirement for the balcony slab of a glazed balcony of a building exceeding <e1>two</e1> <e2>storeys</e2> is EI 30; however, minor sealing parts and penetrations may be class E 15.",greater,value,object
7d877df3-9aa7-4dff-a64d-5356a66c944d,"In public outdoor and indoor spaces, and in business and service premises, a handrail must continue at least 300 millimetres past the start and end points of the structure, and in the case of stairs or ramps that have a width exceeding 2.4 metres and are located in assembly areas, it must also be placed so as to divide the passageway into parts no wider than the abovementioned width.",{'ID': '59_Finnish_SafetyOfUse'},"In public outdoor and indoor spaces, and in business and service premises, a handrail must continue at least 300 millimetres past the start and end points of the structure, and in the case of stairs or ramps that have a <e1>width</e1> exceeding <e2>2.4 metres</e2> and are located in assembly areas, it must also be placed so as to divide the passageway into parts no wider than the abovementioned width.",greater,property,value
7faab614-f3bc-41b4-9dbf-0ff2b3ea56f3,"Where the cost of installing only cable routes is more than 7% of the total cost of the major renovation, there is no requirement to install either electric vehicle charge points or cable routes.",{'ID': '53_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},"Where the <e1>cost</e1> of installing only cable routes is more than <e2>7%</e2> of the total cost of the major renovation, there is no requirement to install either electric vehicle charge points or cable routes.",greater,property,value
825053cb-af5d-43a9-b59b-e2a5ae78ea73,The total number of associated parking spaces which have access to either: a. cable routes; b. an electric vehicle charge point should be the greater of the following: a. the number of dwellings in the residential building; b. the number of associated parking spaces.,{'ID': '59_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},The <e1>total number</e1> of associated parking spaces which have access to either: a. cable routes; b. an electric vehicle charge point should be the greater of the following: a. the <e2>number</e2> of dwellings in the residential building; b. the number of associated parking spaces.,greater,property,property
825053cb-af5d-43a9-b59b-e2a5ae78ea73,The total number of associated parking spaces which have access to either: a. cable routes; b. an electric vehicle charge point should be the greater of the following: a. the number of dwellings in the residential building; b. the number of associated parking spaces.,{'ID': '59_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},The <e1>total number</e1> of associated parking spaces which have access to either: a. cable routes; b. an electric vehicle charge point should be the greater of the following: a. the number of dwellings in the residential building; b. the <e2>number</e2> of associated parking spaces.,greater,property,property
88e23b46-22d9-4be6-87b7-40541f7995a9,"A building shall be provided with a permanently installed dry riser that is suitable for its purpose for transporting water for fire extinguishing: 1) in the premises above the entry level of the building, when the distance of the uppermost floor level from the entry level exceeds 24 metres; 2) in the premises below the entry level of the building, when the distance of the basement storey floor from the entry level exceeds 14 metres.",{'ID': '254_Finnish_FireSafety'},"A building shall be provided with a permanently installed dry riser that is suitable for its purpose for transporting water for fire extinguishing: 1) in the premises above the entry level of the building, when the <e1>distance of the uppermost floor level from the entry level</e1> exceeds <e2>24 metres</e2>; 2) in the premises below the entry level of the building, when the distance of the basement storey floor from the entry level exceeds 14 metres.",greater,property,value
8cef7dc5-2d76-4dd8-80c5-6861b11a8f6f,"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks.",{'ID': '3_UK_DocR_V1_InfrastructureForElectircalCommunications'},"Where the work concerns a building containing more than <e1>one</e1> <e2>dwelling</e2>, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks.",greater,value,object
8e8f4fb5-00b5-404f-89df-a07287984748,"In buildings with a total useful floor area greater than 1000m2, automatic meter reading and data collection facilities should be installed.",{'ID': '229_UK_DocM_V2_AccessAndUseOfBuildings'},"In buildings with a <e1>total useful floor area</e1> greater than <e2>1000m2</e2>, automatic meter reading and data collection facilities should be installed.",greater,property,value
9618a274-45da-4e3e-87f0-21c2bfae4a8e,"A guardrail must be used at points with a level difference of over 0.7 metres, if these can be accessed by children.",{'ID': '39_Finnish_SafetyOfUse'},"A guardrail must be used at points with a <e1>level difference</e1> of over <e2>0.7 metres</e2>, if these can be accessed by children.",greater,property,value
99a53f17-48cb-4012-a47b-700761e0983b,Where a new building which is not a residential building or a mixed-use building has more than 10 parking spaces (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.,{'ID': '61_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},Where a new building which is not a residential building or a mixed-use building has more than <e1>10</e1> <e2>parking spaces</e2> (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.,greater,value,object
9dd2a0f1-0ff9-4416-8abd-1e6589980ff4,"If the cross-sectional area of a mechanical ventilation systems air duct is designed to be greater than 0.06 m2, the outdoor air and exhaust air ducts shall be fitted with shutoff dampers that close automatically when the system shuts down.",{'ID': '100_Finnish_Health-IndoorClimateAndVentilation'},"If the <e1>cross-sectional area</e1> of a mechanical ventilation systems air duct is designed to be greater than <e2>0.06 m2</e2>, the outdoor air and exhaust air ducts shall be fitted with shutoff dampers that close automatically when the system shuts down.",greater,property,value
a1f91cfd-21f8-49a4-8468-746f49f4848e,"For a building that contains more than one dwelling for example a block of flats or a terrace of houses an average target primary energy rate, target emission rate and target fabric energy efficiency rate may be calculated as an alternative to individual target rates for each dwelling.",{'ID': '50_UK_DocL_V1_ConsrvationOfFuelAndPower'},"For a building that contains more than <e1>one</e1> <e2>dwelling</e2> for example a block of flats or a terrace of houses an average target primary energy rate, target emission rate and target fabric energy efficiency rate may be calculated as an alternative to individual target rates for each dwelling.",greater,value,object
a387fcb8-ead2-4094-9be9-72d783468b33,"If the area of windows, roof windows, rooflights and doors exceeds 25 of the total floor area of the dwelling, compensating measures should be taken to improve the energy efficiency of the dwelling.",{'ID': '422_UK_DocL_V1_ConsrvationOfFuelAndPower'},"If the <e1>area</e1> of windows, roof windows, rooflights and doors exceeds <e2>25</e2> of the total floor area of the dwelling, compensating measures should be taken to improve the energy efficiency of the dwelling.",greater,property,value
a8b3e54e-902c-4502-99a2-8c41d46f1416,"If there are more than 60 chairs in a space, they must be linked to one another in at least four groups, unless the chairs are placed around tables.",{'ID': '106_Finnish_SafetyOfUse'},"If there are more than <e1>60</e1> <e2>chairs</e2> in a space, they must be linked to one another in at least four groups, unless the chairs are placed around tables.",greater,value,object
aa41a5d4-c0b1-4da7-84a0-5c2e2738654f,The total number of ventilators installed in the dwellings habitable rooms and kitchens should be at least the following: Five ventilators if the dwelling has more than one bedroom.,{'ID': '89_UK_DocF_V1_Ventilation'},The total number of ventilators installed in the dwellings habitable rooms and kitchens should be at least the following: Five ventilators if the dwelling has more than <e1>one</e1> <e2>bedroom</e2>.,greater,value,object
c0a6d35c-cc20-428b-941d-c3e3e6365c74,"In a tier that is uninterrupted by cross-gangways, and where the pitch exceeds 25, use a maximum number of steps of 40.",{'ID': '25_UK_DocK_ProtectionFromFalling'},"In a tier that is uninterrupted by cross-gangways, and where the <e1>pitch</e1> exceeds <e2>25</e2>, use a maximum number of steps of 40.",greater,property,value
cb2f2c09-8ae6-42a4-ac21-861c912c30f9,"In buildings more than 9 metres and at most 28 metres in height, the attic and roof must be accessible via the interior and exterior of the building; in buildings more than 28 metres in height, these must be accessible via the interior.",{'ID': '126_Finnish_SafetyOfUse'},"In buildings more than <e1>9 metres</e1> and at most 28 metres in <e2>height</e2>, the attic and roof must be accessible via the interior and exterior of the building; in buildings more than 28 metres in height, these must be accessible via the interior.",greater,value,property
cb2f2c09-8ae6-42a4-ac21-861c912c30f9,"In buildings more than 9 metres and at most 28 metres in height, the attic and roof must be accessible via the interior and exterior of the building; in buildings more than 28 metres in height, these must be accessible via the interior.",{'ID': '126_Finnish_SafetyOfUse'},"In buildings more than 9 metres and at most 28 metres in height, the attic and roof must be accessible via the interior and exterior of the building; in buildings more than <e1>28 metres</e1> in <e2>height</e2>, these must be accessible via the interior.",greater,value,property
cf35d4a4-3170-421b-9be1-b68d928eed1d,"A roof with a pitch greater than 1:8 must be constructed making appropriate use of walkways, roof ladders, safety ladders, roof stairs, roof treads and foot rails.",{'ID': '125_Finnish_SafetyOfUse'},"A roof with a <e1>pitch</e1> greater than <e2>1:8</e2> must be constructed making appropriate use of walkways, roof ladders, safety ladders, roof stairs, roof treads and foot rails.",greater,property,value
d342429e-d3fc-46e0-a195-527cfef1fd4b,"When an existing building with a total useful floor area of over 1000m2 is being extended or the habitable area is being increased, consequential improvements should be installed.",{'ID': '451_UK_DocM_V2_AccessAndUseOfBuildings'},"When an existing building with a total useful <e1>floor area</e1> of over <e2>1000m2</e2> is being extended or the habitable area is being increased, consequential improvements should be installed.",greater,property,value
d5b6ff18-626d-4e6f-b788-0c67f7a4ebab,"If the cost of installing the required electric vehicle charge point and cable routes for electric vehicle charge points exceeds 7% of the total cost of the major renovation (a) such a building is exempt from the requirement to install the electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of parking spaces, except where the cost of that installation exceeds 7% of the total cost of the major renovation.",{'ID': '75_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},"If the <e1>cost</e1> of installing the required electric vehicle charge point and cable routes for electric vehicle charge points exceeds <e2>7%</e2> of the total cost of the major renovation (a) such a building is exempt from the requirement to install the electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of parking spaces, except where the cost of that installation exceeds 7% of the total cost of the major renovation.",greater,property,value
d5b6ff18-626d-4e6f-b788-0c67f7a4ebab,"If the cost of installing the required electric vehicle charge point and cable routes for electric vehicle charge points exceeds 7% of the total cost of the major renovation (a) such a building is exempt from the requirement to install the electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of parking spaces, except where the cost of that installation exceeds 7% of the total cost of the major renovation.",{'ID': '75_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},"If the cost of installing the required electric vehicle charge point and cable routes for electric vehicle charge points exceeds 7% of the total cost of the major renovation (a) such a building is exempt from the requirement to install the electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of parking spaces, except where the <e1>cost</e1> of that installation exceeds <e2>7%</e2> of the total cost of the major renovation.",greater,property,value
e874f337-2067-4e77-ad32-c3b857f40e7a,"If the number of occupants exceeds 120, the total minimum width of the exits shall be calculated by increasing the original 1,200 millimetres by 400 millimetres for each additional group of 60 people.",{'ID': '219_Finnish_FireSafety'},"If the <e1>number of occupants</e1> exceeds <e2>120</e2>, the total minimum width of the exits shall be calculated by increasing the original 1,200 millimetres by 400 millimetres for each additional group of 60 people.",greater,property,value
eefe1191-2903-4fb8-9138-6471e09fb67d,The internal temperature exceeds 23C at 11pm.,{'ID': '53_UK_DocO_Overheating'},The <e1>internal temperature</e1> exceeds <e2>23C</e2> at 11pm.,greater,property,value
f420ae57-5656-4558-b1a3-1079e46bf6cc,"In the case of the storey-level door of a dwelling, or if the number of people evacuating through the door exceeds 60, doors must open in the direction of the exit.",{'ID': '223_Finnish_FireSafety'},"In the case of the storey-level door of a dwelling, or if the <e1>number of people evacuating</e1> through the door exceeds <e2>60</e2>, doors must open in the direction of the exit.",greater,property,value
f5a71c7b-e852-40f2-8f88-91cda7902a7e,"If a new building has a space heating or airconditioning system with an effective rated output greater than 180kW, a building automation and control system should be installed.",{'ID': '319_UK_DocM_V2_AccessAndUseOfBuildings'},"If a new building has a space heating or airconditioning system with an <e1>effective rated output</e1> greater than <e2>180kW</e2>, a building automation and control system should be installed.",greater,property,value
f7935bb4-9e5f-4e91-bbf1-54e45c1ef24c,A building with a height exceeding 9 metres must be equipped with anchoring structures for safety lines.,{'ID': '127_Finnish_SafetyOfUse'},A building with a <e1>height</e1> exceeding <e2>9 metres</e2> must be equipped with anchoring structures for safety lines.,greater,property,value
